gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,is_new_customer,is_long_term,tenure_bins,avg_monthly_spend,charge_per_tenure,price_increase,high_monthly_charge,total_services,has_internet,has_phone,has_tech_support,has_online_security,is_month_to_month,has_auto_payment,is_paperless,is_senior,has_family,is_single_no_deps,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_0-12,tenure_group_12-24,tenure_group_24-48,tenure_group_48+
0,0,1,0,-1.2774445836787656,0,1,-1.1603229160349193,-0.9926105235902257,0,1,0,0,-1.4411146220652715,1.0495927638960636,1,0,1,1,0,0,0,1,0,1,0,1,0,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False
0,0,0,0,0.06632741908223598,1,0,-0.2596289419448806,-0.17216470898960817,0,0,1,3,-0.1636844802879181,-0.47507330275463205,1,0,2,1,1,0,1,0,0,0,0,0,1,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
0,0,0,0,-1.2367242199587352,1,1,-0.3626603559551803,-0.9580659010627455,1,1,0,0,-0.7502488189553651,1.3964241971165443,1,0,2,1,1,0,1,1,0,1,0,0,1,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False
0,0,0,0,0.5142514200025698,0,0,-0.7465354629935549,-0.1936723762720431,0,0,1,4,-0.6205359650552856,-0.5562006306586968,1,0,3,1,0,1,1,0,1,0,0,0,1,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0,0,0,-1.2367242199587352,1,1,0.19736523310080326,-0.9388744441030343,1,1,0,0,-0.2760450724420566,2.0404032218840493,1,1,0,1,1,0,0,1,0,1,0,0,1,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False
0,0,0,0,-0.9924020376385531,1,1,1.1595456961969886,-0.6437892489880273,1,1,0,0,1.0522704795728086,0.607852453632696,1,1,3,1,1,0,0,1,0,1,0,0,1,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False
0,0,0,1,-0.4223169455581282,1,1,0.8089065291619363,-0.14573785216462656,0,0,0,2,0.8426349802396388,-0.21746982379801877,1,1,2,1,1,0,0,1,1,1,0,1,0,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False
0,0,0,0,-0.9109613101984924,0,0,-1.1636465100352518,-0.8725867105812734,0,1,0,1,-1.0316493494098147,-0.3515436872132728,1,0,1,1,0,0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False
0,0,1,0,-0.1779947632379461,1,1,1.330710787214099,0.33808539553347106,1,0,1,3,1.505855854705812,-0.24729388052853946,0,1,4,1,1,1,0,1,0,1,0,1,0,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False
0,0,0,1,1.2064976032430856,1,0,-0.28621769394753876,0.5330441272690194,0,0,1,6,-0.1186000846834509,-0.5594448375524886,1,0,2,1,1,0,1,0,1,0,0,1,0,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0,1,1,-0.7888002190384014,1,1,-0.4922805219681379,-0.7466069281710316,0,0,0,1,-0.5569465528274032,-0.2525606689742195,1,0,1,1,1,0,1,1,0,1,0,1,0,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
0,0,0,0,-0.6666391278783103,1,0,-1.5225946620711341,-0.8616012559077836,0,0,0,1,-1.3005367771303424,-0.5338267739617573,0,0,0,0,1,0,0,0,1,0,0,0,1,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
0,0,1,0,1.0436161483629645,1,0,1.182810854199314,1.5006244452274227,0,0,1,6,1.2198169270063828,-0.4666227003675578,1,1,3,1,1,0,0,0,1,0,0,1,0,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True
0,0,0,0,0.6771328748826912,1,1,1.2941512532104444,1.2161496993050833,1,0,1,5,1.3648961127339272,-0.42383888843993717,1,1,4,1,1,0,0,1,1,1,0,0,1,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True
0,0,0,0,-0.30015585439803716,1,1,1.3539759452164248,0.17925954483241316,0,0,1,2,1.4493899123845508,-0.19639860872246062,1,1,5,1,1,1,1,1,0,1,0,0,1,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False
0,0,1,1,1.4915401492832983,1,0,1.611554480242174,2.4774254861848592,0,0,1,7,1.7593635504615937,-0.4761379565047775,1,1,6,1,1,1,1,0,1,0,0,1,0,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
0,0,0,0,0.7992939660427822,1,0,-1.4660935640654862,-0.5544717671146129,0,0,1,5,-1.2980050528914275,-0.6169612068959407,1,0,0,0,1,0,0,0,0,0,0,0,1,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
0,0,0,1,1.5729808767233588,1,0,1.393859073220412,2.251142767227713,0,0,1,7,1.423934479174834,-0.4917210295571211,1,1,4,1,1,0,1,0,1,0,0,1,0,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True
0,0,1,1,-0.9109613101984924,1,0,-0.31779183695069496,-0.7726808386611219,1,1,0,1,-0.3583989519305749,-0.08627366541128198,1,0,2,1,1,1,0,1,1,0,0,1,0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
0,0,0,0,-0.46303730927815856,1,1,0.8404806721650927,-0.18390017462474187,0,0,0,2,0.8400432438030596,-0.19232955821423908,1,1,3,1,1,0,0,1,0,1,0,0,1,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
0,1,0,0,-1.2774445836787656,0,1,-0.8346107040023594,-0.988286930987808,1,1,0,0,-1.2808664594504295,1.6114023582036194,1,0,2,1,0,0,0,1,0,1,1,0,1,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False
0,0,1,0,-0.8295205827584317,1,0,-1.4943441130683104,-0.9165505884211634,0,1,0,1,-1.4204232384309377,-0.4870049844278605,1,0,0,0,1,0,0,0,1,0,0,1,0,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
0,0,0,0,-1.2774445836787656,1,0,-1.4827115340671475,-0.9968899979007819,1,1,0,0,-1.5997275993473095,0.4935159205508293,1,0,0,0,1,0,0,1,0,0,0,0,1,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False
